G,NO,ì˙ït,ìXï‹,ìXï‹ñº,ãqêî,ì_êî,ì‡ê≈ïWèÄ,ì‡ê≈åyå∏,äOê≈ïWèÄ,äOê≈åyå∏,ê≈çáåv,ê≈î≤îÑè„,ê≈î≤îÑè„(èÉäz),ê≈çûîÑè„,îÉè„ì_êî,ãqíPâø,ì_íPâø,POSëeóò,POSëeóòó¶%,ëeóòó¶%(èÉäz),é¿ëeóò,é¿ëeóòó¶%,ÉçÉXäz,ÉçÉXó¶%,ÉçÉXó¶ÅiíIâµÅj,ÉçÉXó¶Åiîpä¸Åj,óàìXâÔàıêî,ëçî≠çsŒﬂ≤›ƒ,œ≤ ﬁØ∏ﬁãqêî,œ≤ ﬁØ∏ﬁŒﬂ≤›ƒ,Ãﬂ⁄ ﬂΩãqêî,Ãﬂ⁄ ﬂΩŒﬂ≤›ƒ,äîéÂãqêî,äîéÂã‡äz(ê≈çûÇ›),äîéÂílà¯(ê≈çûÇ›),⁄ºﬁë‹(ê≈çûÇ›),Ç®îÉï®äÑà¯åîî≠çsã‡äz,Ç®îÉï®äÑà¯åîégópã‡äz,500â~åîî≠çsã‡äz,500â~åîégópã‡äz,í«â¡500â~åîî≠çsã‡äz,í«â¡500â~åîégópã‡äz,dŒﬂ≤›ƒïtó^é“êî,dŒﬂ≤›ƒïtó^Œﬂ≤›ƒëçêî,dŒﬂ≤›ƒóòópé“êî,dŒﬂ≤›ƒóòópŒﬂ≤›ƒëçêî,Aoca¡¨∞ºﬁPïtó^âÒêî,Aoca¡¨∞ºﬁPïtó^Œﬂ≤›ƒêî
3,1,,0,ÅüÅüÅüëççáåv,11229,90350,67740,0,1235904,705668,2009312,21955429,21955429,23964741,8.05,1955.24,243,4857680,22.1,22.1,4669776,21.3,187904,0.9,-0.1,0.9,8158,483241,1271,1271,0,0,12,378701,19926,0,0,0,494500,551500,143500,143500,662,10724,60,68666,2832,34431
0,2,2020/06/21,471,ñLèZí¨,469,3950,2581,0,62232,29855,94668,1025606,1025606,1120274,8.42,2186.79,259.65,236742,23.1,23.1,234230,22.8,2512,0.2,0,0.2,371,41471,185,185,0,0,0,0,0,0,0,0,40500,23000,6000,6000,25,382,2,1822,143,1794
0,3,2020/06/22,471,ñLèZí¨,302,2236,1570,0,25130,19249,45949,510212,510212,556161,7.4,1689.44,228.18,118625,23.3,23.3,111688,21.9,6937,1.4,0,1.4,226,4416,98,98,0,0,0,0,0,0,0,0,3000,8500,1500,1500,29,387,3,3598,73,754
0,4,2020/06/23,471,ñLèZí¨,301,2297,1426,0,26953,17910,46289,510261,510261,556550,7.63,1695.22,222.14,118593,23.2,23.2,114413,22.4,4180,0.8,0,0.8,216,3818,101,101,0,0,0,0,0,0,0,0,3500,14500,3500,3500,23,407,0,0,71,757
0,5,2020/06/24,471,ñLèZí¨,470,3938,3692,0,57395,31230,92317,1005272,1005272,1097589,8.38,2138.88,255.27,206688,20.6,20.6,204602,20.4,2086,0.2,0,0.2,360,39874,183,183,0,0,0,0,0,0,0,0,44000,14000,4000,4000,28,459,2,4157,140,1892
0,6,2020/06/25,471,ñLèZí¨,304,2430,1103,0,29336,18487,48926,538117,538117,587043,7.99,1770.12,221.45,120541,22.4,22.4,117073,21.8,3468,0.6,0,0.6,223,4330,98,98,0,0,0,0,0,0,0,0,3500,12500,2500,2500,25,462,2,1180,74,752
0,7,2020/06/26,471,ñLèZí¨,299,2032,1638,0,30264,15790,47692,519042,519042,566734,6.8,1735.93,255.43,122931,23.7,23.7,115554,22.3,7377,1.4,0,1.4,217,4476,98,98,0,0,0,0,0,0,0,0,5500,16000,4500,4500,10,276,2,246,71,701
0,8,2020/06/27,471,ñLèZí¨,337,2550,1686,0,31195,19700,52581,577980,577980,630561,7.57,1715.07,226.66,128479,22.2,22.2,116189,20.1,12290,2.1,0,2.1,240,4420,108,108,0,0,0,0,0,0,0,0,4500,12000,2500,2500,14,211,0,0,83,912
0,9,2020/06/28,471,ñLèZí¨,475,4136,3439,0,66066,38063,107568,1174999,1174999,1282567,8.71,2473.68,284.09,239129,20.4,20.4,235141,20,3988,0.3,0,0.3,360,47602,179,179,0,0,1,81077,4267,0,0,0,48000,22000,6000,6000,23,452,2,772,137,2292
0,10,2020/06/29,471,ñLèZí¨,325,2495,3316,0,34267,18774,56357,613354,613354,669711,7.68,1887.24,245.83,140376,22.9,22.9,136015,22.2,4361,0.7,0,0.7,222,5484,99,99,0,0,0,0,0,0,0,0,8000,14000,3000,3000,20,233,3,972,73,781
0,11,2020/06/30,471,ñLèZí¨,324,2586,1786,0,39619,19779,61184,664069,664069,725253,7.98,2049.6,256.79,160988,24.2,24.2,156330,23.5,4658,0.7,-0.2,0.9,240,5764,122,122,0,0,0,0,0,0,0,0,6500,12000,2500,2500,18,381,2,2946,78,1007
0,12,2020/07/01,471,ñLèZí¨,454,4031,1616,0,56255,35887,93758,1031281,1031281,1125039,8.88,2271.54,255.84,225118,21.8,21.8,219263,21.3,5855,0.6,-0.1,0.7,359,41475,0,0,0,0,3,82598,4346,0,0,0,37000,57000,17000,17000,22,336,0,0,126,1880
0,13,2020/07/02,471,ñLèZí¨,354,2733,1968,0,40482,19787,62237,674923,674923,737160,7.72,1906.56,246.95,157650,23.4,23.4,153345,22.7,4305,0.6,-0.3,1,247,5674,0,0,0,0,1,1735,91,0,0,0,2000,11500,2500,2500,15,144,2,1425,81,1005
0,14,2020/07/03,471,ñLèZí¨,343,2726,2094,0,40170,18465,60729,656388,656388,717117,7.95,1913.67,240.79,159178,24.3,24.3,154423,23.5,4755,0.7,0,0.7,226,4876,0,0,0,0,0,0,0,0,0,0,4500,10000,2000,2000,22,417,3,5771,78,873
0,15,2020/07/04,471,ñLèZí¨,353,2625,1531,0,38407,17782,57720,624776,624776,682496,7.44,1769.9,238.01,155710,24.9,24.9,142018,22.7,13692,2.2,0,2.2,238,4906,0,0,0,0,0,0,0,0,0,0,5500,16500,4500,4500,27,367,3,3449,83,742
0,16,2020/07/05,471,ñLèZí¨,489,4319,2126,0,62231,38662,103019,1131316,1131316,1234335,8.83,2313.53,261.94,234411,20.7,20.7,227727,20.1,6684,0.6,-0.7,1.3,388,45390,0,0,0,0,3,82598,4346,0,0,0,44500,64000,19000,19000,18,359,1,930,135,2052
0,17,2020/07/06,471,ñLèZí¨,308,2651,2607,0,35272,19304,57183,622718,622718,679901,8.61,2021.81,234.9,129951,20.9,20.9,113480,18.2,16471,2.6,-0.2,2.9,208,4772,0,0,0,0,0,0,0,0,0,0,5500,11000,3000,3000,17,259,0,0,74,975
0,18,2020/07/07,471,ñLèZí¨,313,2250,1693,0,32655,16643,50991,554194,554194,605185,7.19,1770.59,246.31,135116,24.4,24.4,132417,23.9,2699,0.5,0,0.5,211,4313,0,0,0,0,0,0,0,0,0,0,6500,11500,3000,3000,27,415,2,3857,72,893
0,19,2020/07/08,471,ñLèZí¨,492,3951,2450,0,55271,36773,94494,1041307,1041307,1135801,8.03,2116.48,263.56,213376,20.5,20.5,210096,20.2,3280,0.3,0,0.3,376,43590,0,0,0,0,2,77092,4056,0,0,0,42000,42500,13000,13000,28,347,3,6053,132,2082
0,20,2020/07/09,471,ñLèZí¨,367,2636,2320,0,35058,20087,57465,628151,628151,685616,7.18,1711.58,238.3,132486,21.1,21.1,120986,19.3,11500,1.8,0,1.8,257,5396,0,0,0,0,0,0,0,0,0,0,5500,11000,3000,3000,21,289,3,2031,77,736
0,21,2020/07/10,471,ñLèZí¨,375,2887,3214,0,38430,22656,64300,702840,702840,767140,7.7,1874.24,243.45,150883,21.5,21.5,146648,20.9,4235,0.6,-0.1,0.7,257,5638,0,0,0,0,0,0,0,0,0,0,6000,18000,5000,5000,25,311,6,6833,82,1092
0,22,2020/07/11,471,ñLèZí¨,363,2792,1447,0,34319,20088,55854,611932,611932,667786,7.69,1685.76,219.17,127978,20.9,20.9,121677,19.9,6301,1,0,1,230,4847,0,0,0,0,0,0,0,0,0,0,4000,9500,1500,1500,34,640,1,932,77,698
0,23,2020/07/12,471,ñLèZí¨,492,4209,2404,0,56190,36468,95062,1046071,1046071,1141133,8.55,2126.16,248.53,217333,20.8,20.8,213694,20.4,3639,0.3,0,0.3,350,41900,0,0,0,0,1,52410,2758,0,0,0,40000,26000,6500,6500,21,342,3,3491,116,1326
0,24,2020/07/13,471,ñLèZí¨,329,2501,3025,0,30090,17976,51091,558819,558819,609910,7.6,1698.54,223.44,120559,21.6,21.6,116254,20.8,4305,0.8,0,0.8,234,5478,0,0,0,0,0,0,0,0,0,0,5500,18500,5000,5000,20,231,5,5534,86,748
0,25,2020/07/14,471,ñLèZí¨,323,2515,2099,0,30913,18930,51942,569598,569598,621540,7.79,1763.46,226.48,127329,22.4,22.4,125235,22,2094,0.4,0,0.4,239,4834,0,0,0,0,1,1191,62,0,0,0,3500,9500,2000,2000,18,334,1,360,81,866
0,26,2020/07/15,471,ñLèZí¨,439,3829,2568,0,48658,28390,79616,870878,870878,950494,8.72,1983.78,227.44,184362,21.2,21.2,181461,20.8,2901,0.3,0,0.3,353,36370,0,0,0,0,0,0,0,0,0,0,41000,10000,1500,1500,15,229,0,0,135,1775
0,27,2020/07/16,471,ñLèZí¨,331,2400,2076,0,30527,18094,50697,554967,554967,605664,7.25,1676.64,231.24,125224,22.6,22.6,117044,21.1,8180,1.5,0,1.5,215,3575,0,0,0,0,0,0,0,0,0,0,7000,10500,2500,2500,32,537,2,1582,65,540
0,28,2020/07/17,471,ñLèZí¨,334,2836,2026,0,37371,19343,58740,638512,638512,697252,8.49,1911.71,225.15,155371,24.3,24.3,142531,22.3,12840,2,0,2,236,4924,0,0,0,0,0,0,0,0,0,0,5500,11000,2500,2500,19,286,2,1706,91,1125
0,29,2020/07/18,471,ñLèZí¨,348,2741,3581,0,36684,20123,60388,657187,657187,717575,7.88,1888.47,239.76,154676,23.5,23.5,147352,22.4,7324,1.1,0,1.1,240,5896,0,0,0,0,0,0,0,0,0,0,6500,9500,2500,2500,26,433,1,500,84,921
0,30,2020/07/19,471,ñLèZí¨,498,4437,3337,0,62494,31808,97639,1060447,1060447,1158086,8.91,2129.41,239,227804,21.5,21.5,223422,21.1,4382,0.4,0,0.4,399,43005,0,0,0,0,0,0,0,0,0,0,48500,28500,8000,8000,22,504,3,8437,134,1568
0,31,2020/07/20,471,ñLèZí¨,318,2631,1321,0,31970,19565,52856,580212,580212,633068,8.27,1824.57,220.53,130073,22.4,22.4,119468,20.6,10605,1.8,0,1.8,220,4727,0,0,0,0,0,0,0,0,0,0,7000,17000,3500,3500,18,294,1,82,80,892
